Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
BTCUSDT,50061.14,2024-02-12,22,43,59
ETHUSDT,2670.26,2024-02-12,22,43,59
TRXUSDT,0.12501,2024-02-12,22,43,59
BTCUSDT,50024.77,2024-02-12,22,44,29
ETHUSDT,2669.99,2024-02-12,22,44,29
TRXUSDT,0.125,2024-02-12,22,44,29
BTCUSDT,50024.0,2024-02-12,22,44,59
ETHUSDT,2669.95,2024-02-12,22,44,59
TRXUSDT,0.125,2024-02-12,22,44,59
BTCUSDT,50029.07,2024-02-12,22,45,30
ETHUSDT,2670.7,2024-02-12,22,45,30
TRXUSDT,0.12499,2024-02-12,22,45,30
BTCUSDT,50001.1,2024-02-12,22,46,0
ETHUSDT,2669.15,2024-02-12,22,46,0
TRXUSDT,0.12495,2024-02-12,22,46,0
BTCUSDT,50010.56,2024-02-12,22,46,31
ETHUSDT,2669.2,2024-02-12,22,46,31
TRXUSDT,0.12497,2024-02-12,22,46,31
BTCUSDT,50023.99,2024-02-12,22,47,1
ETHUSDT,2668.27,2024-02-12,22,47,1
TRXUSDT,0.12496,2024-02-12,22,47,1
BTCUSDT,50035.52,2024-02-12,22,47,31
ETHUSDT,2668.22,2024-02-12,22,47,31
TRXUSDT,0.12498,2024-02-12,22,47,31
BTCUSDT,50026.18,2024-02-12,22,48,2
ETHUSDT,2668.2,2024-02-12,22,48,2
TRXUSDT,0.12495,2024-02-12,22,48,2
BTCUSDT,50018.01,2024-02-12,22,48,33
ETHUSDT,2668.26,2024-02-12,22,48,33
TRXUSDT,0.125,2024-02-12,22,48,33
BTCUSDT,50012.2,2024-02-12,22,49,3
ETHUSDT,2668.21,2024-02-12,22,49,3
TRXUSDT,0.12501,2024-02-12,22,49,3
BTCUSDT,50004.28,2024-02-12,22,49,35
ETHUSDT,2668.08,2024-02-12,22,49,35
TRXUSDT,0.12499,2024-02-12,22,49,35
BTCUSDT,50000.0,2024-02-12,22,50,6
ETHUSDT,2667.84,2024-02-12,22,50,6
TRXUSDT,0.12498,2024-02-12,22,50,6
BTCUSDT,50021.1,2024-02-12,22,50,36
ETHUSDT,2667.6,2024-02-12,22,50,36
TRXUSDT,0.12495,2024-02-12,22,50,36
BTCUSDT,50030.16,2024-02-12,22,51,7
ETHUSDT,2668.12,2024-02-12,22,51,7
TRXUSDT,0.12496,2024-02-12,22,51,7
BTCUSDT,50038.28,2024-02-12,22,51,37
ETHUSDT,2668.25,2024-02-12,22,51,37
TRXUSDT,0.12496,2024-02-12,22,51,37
BTCUSDT,49990.0,2024-02-12,22,52,8
ETHUSDT,2667.0,2024-02-12,22,52,8
TRXUSDT,0.12495,2024-02-12,22,52,8
BTCUSDT,50014.0,2024-02-12,22,52,39
ETHUSDT,2667.94,2024-02-12,22,52,39
TRXUSDT,0.12496,2024-02-12,22,52,39
BTCUSDT,50004.04,2024-02-12,22,53,9
ETHUSDT,2667.82,2024-02-12,22,53,9
TRXUSDT,0.12495,2024-02-12,22,53,9
BTCUSDT,49998.12,2024-02-12,22,53,42
ETHUSDT,2667.98,2024-02-12,22,53,42
TRXUSDT,0.12493,2024-02-12,22,53,42
BTCUSDT,51810.99,2024-02-19,16,10,35
ETHUSDT,2922.51,2024-02-19,16,10,35
TRXUSDT,0.13633,2024-02-19,16,10,35
BTCUSDT,51814.45,2024-02-19,16,11,6
ETHUSDT,2922.7,2024-02-19,16,11,6
TRXUSDT,0.1364,2024-02-19,16,11,6
BTCUSDT,51819.48,2024-02-19,16,11,36
ETHUSDT,2923.46,2024-02-19,16,11,36
TRXUSDT,0.13641,2024-02-19,16,11,36
BTCUSDT,51801.01,2024-02-19,16,12,7
ETHUSDT,2921.59,2024-02-19,16,12,7
TRXUSDT,0.13636,2024-02-19,16,12,7
BTCUSDT,51784.32,2024-02-19,16,12,37
ETHUSDT,2920.91,2024-02-19,16,12,37
TRXUSDT,0.13634,2024-02-19,16,12,37
BTCUSDT,51800.39,2024-02-19,16,13,8
ETHUSDT,2921.37,2024-02-19,16,13,8
TRXUSDT,0.13642,2024-02-19,16,13,8
BTCUSDT,51805.19,2024-02-19,16,13,38
ETHUSDT,2920.36,2024-02-19,16,13,38
TRXUSDT,0.13642,2024-02-19,16,13,38
BTCUSDT,51805.24,2024-02-19,16,14,9
ETHUSDT,2920.7,2024-02-19,16,14,9
TRXUSDT,0.13642,2024-02-19,16,14,9
BTCUSDT,51812.61,2024-02-19,16,14,39
ETHUSDT,2922.62,2024-02-19,16,14,39
TRXUSDT,0.13643,2024-02-19,16,14,39
BTCUSDT,51803.62,2024-02-19,16,15,11
ETHUSDT,2921.8,2024-02-19,16,15,11
TRXUSDT,0.13644,2024-02-19,16,15,11
BTCUSDT,51833.99,2024-02-19,16,15,42
ETHUSDT,2923.97,2024-02-19,16,15,42
TRXUSDT,0.13646,2024-02-19,16,15,42
BTCUSDT,51854.28,2024-02-19,16,16,12
ETHUSDT,2924.49,2024-02-19,16,16,12
TRXUSDT,0.13645,2024-02-19,16,16,12
BTCUSDT,51847.66,2024-02-19,16,16,43
ETHUSDT,2924.45,2024-02-19,16,16,43
TRXUSDT,0.13645,2024-02-19,16,16,43
BTCUSDT,51853.82,2024-02-19,16,17,13
ETHUSDT,2924.61,2024-02-19,16,17,13
TRXUSDT,0.13644,2024-02-19,16,17,13
BTCUSDT,51847.65,2024-02-19,16,17,44
ETHUSDT,2924.0,2024-02-19,16,17,44
TRXUSDT,0.13644,2024-02-19,16,17,44
BTCUSDT,51847.62,2024-02-19,16,18,14
ETHUSDT,2923.86,2024-02-19,16,18,14
TRXUSDT,0.13645,2024-02-19,16,18,14
BTCUSDT,51846.72,2024-02-19,16,18,45
ETHUSDT,2922.42,2024-02-19,16,18,45
TRXUSDT,0.13645,2024-02-19,16,18,45
BTCUSDT,51819.59,2024-02-19,16,19,15
ETHUSDT,2920.48,2024-02-19,16,19,15
TRXUSDT,0.1364,2024-02-19,16,19,15
BTCUSDT,51827.63,2024-02-19,16,19,45
ETHUSDT,2920.52,2024-02-19,16,19,45
TRXUSDT,0.1364,2024-02-19,16,19,45
BTCUSDT,51837.23,2024-02-19,16,20,16
ETHUSDT,2920.52,2024-02-19,16,20,16
TRXUSDT,0.13642,2024-02-19,16,20,16
BTCUSDT,51849.99,2024-02-19,16,20,46
ETHUSDT,2921.12,2024-02-19,16,20,46
TRXUSDT,0.13644,2024-02-19,16,20,46
BTCUSDT,51869.44,2024-02-19,16,21,16
ETHUSDT,2922.76,2024-02-19,16,21,16
TRXUSDT,0.13646,2024-02-19,16,21,16
BTCUSDT,51896.0,2024-02-19,16,21,47
ETHUSDT,2924.61,2024-02-19,16,21,47
TRXUSDT,0.13648,2024-02-19,16,21,47
BTCUSDT,51926.68,2024-02-19,16,22,17
ETHUSDT,2926.72,2024-02-19,16,22,17
TRXUSDT,0.13649,2024-02-19,16,22,17
BTCUSDT,51904.0,2024-02-19,16,22,48
ETHUSDT,2925.46,2024-02-19,16,22,48
TRXUSDT,0.13648,2024-02-19,16,22,48
BTCUSDT,51904.01,2024-02-19,16,23,18
ETHUSDT,2925.99,2024-02-19,16,23,18
TRXUSDT,0.13647,2024-02-19,16,23,18
BTCUSDT,51900.71,2024-02-19,16,23,48
ETHUSDT,2926.33,2024-02-19,16,23,48
TRXUSDT,0.13654,2024-02-19,16,23,48
BTCUSDT,51892.02,2024-02-19,16,24,19
ETHUSDT,2927.47,2024-02-19,16,24,19
TRXUSDT,0.13654,2024-02-19,16,24,19
BTCUSDT,51879.99,2024-02-19,16,24,50
ETHUSDT,2926.32,2024-02-19,16,24,50
TRXUSDT,0.13652,2024-02-19,16,24,50
BTCUSDT,51869.63,2024-02-19,16,25,20
ETHUSDT,2925.09,2024-02-19,16,25,20
TRXUSDT,0.13652,2024-02-19,16,25,20
BTCUSDT,51852.54,2024-02-19,16,25,51
ETHUSDT,2924.41,2024-02-19,16,25,51
TRXUSDT,0.13651,2024-02-19,16,25,51
BTCUSDT,51830.18,2024-02-19,16,26,21
ETHUSDT,2922.99,2024-02-19,16,26,21
TRXUSDT,0.13654,2024-02-19,16,26,21
BTCUSDT,51853.74,2024-02-19,16,26,51
ETHUSDT,2926.14,2024-02-19,16,26,51
TRXUSDT,0.13653,2024-02-19,16,26,51
BTCUSDT,51855.09,2024-02-19,16,27,22
ETHUSDT,2926.43,2024-02-19,16,27,22
TRXUSDT,0.13654,2024-02-19,16,27,22
BTCUSDT,51835.6,2024-02-19,16,27,52
ETHUSDT,2927.24,2024-02-19,16,27,52
TRXUSDT,0.13654,2024-02-19,16,27,52
BTCUSDT,51837.02,2024-02-19,16,28,42
ETHUSDT,2927.49,2024-02-19,16,28,42
TRXUSDT,0.13654,2024-02-19,16,28,42
BTCUSDT,60360.0,2024-08-29,15,7,53
ETHUSDT,2569.75,2024-08-29,15,7,53
TRXUSDT,0.1606,2024-08-29,15,7,53
BTCUSDT,60326.68,2024-08-29,15,8,24
ETHUSDT,2568.65,2024-08-29,15,8,24
TRXUSDT,0.1605,2024-08-29,15,8,24
BTCUSDT,60308.0,2024-08-29,15,8,54
ETHUSDT,2568.81,2024-08-29,15,8,54
TRXUSDT,0.1604,2024-08-29,15,8,54
BTCUSDT,60250.01,2024-08-29,15,9,25
ETHUSDT,2566.86,2024-08-29,15,9,25
TRXUSDT,0.1605,2024-08-29,15,9,25
BTCUSDT,60252.0,2024-08-29,15,9,55
ETHUSDT,2565.6,2024-08-29,15,9,55
TRXUSDT,0.1605,2024-08-29,15,9,55
BTCUSDT,60169.01,2024-08-29,15,10,25
ETHUSDT,2564.11,2024-08-29,15,10,25
TRXUSDT,0.1604,2024-08-29,15,10,25
BTCUSDT,59957.41,2024-08-29,15,10,56
ETHUSDT,2554.2,2024-08-29,15,10,56
TRXUSDT,0.1601,2024-08-29,15,10,56
BTCUSDT,59974.99,2024-08-29,15,11,26
ETHUSDT,2553.84,2024-08-29,15,11,26
TRXUSDT,0.1601,2024-08-29,15,11,26
BTCUSDT,60013.78,2024-08-29,15,11,56
ETHUSDT,2554.63,2024-08-29,15,11,56
TRXUSDT,0.1602,2024-08-29,15,11,56
BTCUSDT,60115.0,2024-08-29,15,12,27
ETHUSDT,2559.71,2024-08-29,15,12,27
TRXUSDT,0.1604,2024-08-29,15,12,27
BTCUSDT,60055.01,2024-08-29,15,12,57
ETHUSDT,2558.17,2024-08-29,15,12,57
TRXUSDT,0.1604,2024-08-29,15,12,57
BTCUSDT,60031.0,2024-08-29,15,13,27
ETHUSDT,2557.28,2024-08-29,15,13,27
TRXUSDT,0.1605,2024-08-29,15,13,27
BTCUSDT,60040.41,2024-08-29,15,13,57
ETHUSDT,2558.12,2024-08-29,15,13,57
TRXUSDT,0.1605,2024-08-29,15,13,57
BTCUSDT,59976.01,2024-08-29,15,14,28
ETHUSDT,2555.64,2024-08-29,15,14,28
TRXUSDT,0.1604,2024-08-29,15,14,28
BTCUSDT,59999.99,2024-08-29,15,14,58
ETHUSDT,2555.44,2024-08-29,15,14,58
TRXUSDT,0.1603,2024-08-29,15,14,58
BTCUSDT,59902.03,2024-08-29,15,15,28
ETHUSDT,2551.56,2024-08-29,15,15,28
TRXUSDT,0.1604,2024-08-29,15,15,28
BTCUSDT,59751.1,2024-08-29,15,15,59
ETHUSDT,2544.8,2024-08-29,15,15,59
TRXUSDT,0.1602,2024-08-29,15,15,59
BTCUSDT,59726.0,2024-08-29,15,16,30
ETHUSDT,2544.9,2024-08-29,15,16,30
TRXUSDT,0.1601,2024-08-29,15,16,30
BTCUSDT,59732.0,2024-08-29,15,17,0
ETHUSDT,2545.92,2024-08-29,15,17,0
TRXUSDT,0.1602,2024-08-29,15,17,0
BTCUSDT,59774.99,2024-08-29,15,17,31
ETHUSDT,2548.56,2024-08-29,15,17,31
TRXUSDT,0.1602,2024-08-29,15,17,31
BTCUSDT,59731.16,2024-08-29,15,18,1
ETHUSDT,2546.41,2024-08-29,15,18,1
TRXUSDT,0.1602,2024-08-29,15,18,1
BTCUSDT,59721.1,2024-08-29,15,18,31
ETHUSDT,2546.91,2024-08-29,15,18,31
TRXUSDT,0.1602,2024-08-29,15,18,31
BTCUSDT,59686.94,2024-08-29,15,19,2
ETHUSDT,2545.01,2024-08-29,15,19,2
TRXUSDT,0.1601,2024-08-29,15,19,2
BTCUSDT,59680.0,2024-08-29,15,19,32
ETHUSDT,2543.28,2024-08-29,15,19,32
TRXUSDT,0.1601,2024-08-29,15,19,32
BTCUSDT,59590.07,2024-08-29,15,20,2
ETHUSDT,2539.92,2024-08-29,15,20,2
TRXUSDT,0.16,2024-08-29,15,20,2
BTCUSDT,59604.0,2024-08-29,15,20,33
ETHUSDT,2541.31,2024-08-29,15,20,33
TRXUSDT,0.1601,2024-08-29,15,20,33
BTCUSDT,59589.99,2024-08-29,15,21,3
ETHUSDT,2541.26,2024-08-29,15,21,3
TRXUSDT,0.1601,2024-08-29,15,21,3
BTCUSDT,59550.0,2024-08-29,15,21,33
ETHUSDT,2538.68,2024-08-29,15,21,33
TRXUSDT,0.1603,2024-08-29,15,21,33
BTCUSDT,59592.0,2024-08-29,15,22,4
ETHUSDT,2540.68,2024-08-29,15,22,4
TRXUSDT,0.1601,2024-08-29,15,22,4
BTCUSDT,59640.0,2024-08-29,15,22,34
ETHUSDT,2542.06,2024-08-29,15,22,34
TRXUSDT,0.1601,2024-08-29,15,22,34
BTCUSDT,59673.35,2024-08-29,15,23,5
ETHUSDT,2543.78,2024-08-29,15,23,5
TRXUSDT,0.1604,2024-08-29,15,23,5
BTCUSDT,59718.0,2024-08-29,15,23,35
ETHUSDT,2546.02,2024-08-29,15,23,35
TRXUSDT,0.1603,2024-08-29,15,23,35
BTCUSDT,59795.98,2024-08-29,15,24,5
ETHUSDT,2547.11,2024-08-29,15,24,5
TRXUSDT,0.1602,2024-08-29,15,24,5
BTCUSDT,59837.96,2024-08-29,15,24,36
ETHUSDT,2549.7,2024-08-29,15,24,36
TRXUSDT,0.1603,2024-08-29,15,24,36
BTCUSDT,59871.0,2024-08-29,15,25,6
ETHUSDT,2552.99,2024-08-29,15,25,6
TRXUSDT,0.1603,2024-08-29,15,25,6
BTCUSDT,59832.0,2024-08-29,15,25,36
ETHUSDT,2552.0,2024-08-29,15,25,36
TRXUSDT,0.1604,2024-08-29,15,25,36
BTCUSDT,59803.01,2024-08-29,15,26,7
ETHUSDT,2551.2,2024-08-29,15,26,7
TRXUSDT,0.1605,2024-08-29,15,26,7
BTCUSDT,59830.01,2024-08-29,15,26,37
ETHUSDT,2552.18,2024-08-29,15,26,37
TRXUSDT,0.1606,2024-08-29,15,26,37
BTCUSDT,59815.99,2024-08-29,15,27,7
ETHUSDT,2552.02,2024-08-29,15,27,7
TRXUSDT,0.1606,2024-08-29,15,27,7
BTCUSDT,59809.0,2024-08-29,15,27,38
ETHUSDT,2551.22,2024-08-29,15,27,38
TRXUSDT,0.1604,2024-08-29,15,27,38
BTCUSDT,59679.16,2024-08-29,15,28,8
ETHUSDT,2545.26,2024-08-29,15,28,8
TRXUSDT,0.1604,2024-08-29,15,28,8
BTCUSDT,59541.1,2024-08-29,15,28,38
ETHUSDT,2540.22,2024-08-29,15,28,38
TRXUSDT,0.1604,2024-08-29,15,28,38
BTCUSDT,59553.0,2024-08-29,15,29,9
ETHUSDT,2540.07,2024-08-29,15,29,9
TRXUSDT,0.1604,2024-08-29,15,29,9
BTCUSDT,59661.68,2024-08-29,15,29,39
ETHUSDT,2544.73,2024-08-29,15,29,39
TRXUSDT,0.1603,2024-08-29,15,29,39
BTCUSDT,59564.01,2024-08-29,15,30,9
ETHUSDT,2541.21,2024-08-29,15,30,9
TRXUSDT,0.1604,2024-08-29,15,30,9
BTCUSDT,59598.01,2024-08-29,15,30,39
ETHUSDT,2542.1,2024-08-29,15,30,39
TRXUSDT,0.1603,2024-08-29,15,30,39
BTCUSDT,59584.99,2024-08-29,15,31,10
ETHUSDT,2540.98,2024-08-29,15,31,10
TRXUSDT,0.1605,2024-08-29,15,31,10
BTCUSDT,59635.04,2024-08-29,15,31,40
ETHUSDT,2543.2,2024-08-29,15,31,40
TRXUSDT,0.1606,2024-08-29,15,31,40
BTCUSDT,59629.99,2024-08-29,15,32,10
ETHUSDT,2543.01,2024-08-29,15,32,10
TRXUSDT,0.1605,2024-08-29,15,32,10
BTCUSDT,59646.01,2024-08-29,15,32,41
ETHUSDT,2542.4,2024-08-29,15,32,41
TRXUSDT,0.1605,2024-08-29,15,32,41
BTCUSDT,59608.0,2024-08-29,15,33,11
ETHUSDT,2540.4,2024-08-29,15,33,11
TRXUSDT,0.1606,2024-08-29,15,33,11
BTCUSDT,59652.0,2024-08-29,15,33,41
ETHUSDT,2541.81,2024-08-29,15,33,41
TRXUSDT,0.1606,2024-08-29,15,33,41
BTCUSDT,59667.95,2024-08-29,15,34,12
ETHUSDT,2542.0,2024-08-29,15,34,12
TRXUSDT,0.1606,2024-08-29,15,34,12
BTCUSDT,59717.31,2024-08-29,15,34,42
ETHUSDT,2543.22,2024-08-29,15,34,42
TRXUSDT,0.1606,2024-08-29,15,34,42
BTCUSDT,59617.62,2024-08-29,15,35,12
ETHUSDT,2539.8,2024-08-29,15,35,12
TRXUSDT,0.1606,2024-08-29,15,35,12
BTCUSDT,59583.99,2024-08-29,15,35,43
ETHUSDT,2538.09,2024-08-29,15,35,43
TRXUSDT,0.1604,2024-08-29,15,35,43
BTCUSDT,59591.99,2024-08-29,15,36,13
ETHUSDT,2540.39,2024-08-29,15,36,13
TRXUSDT,0.1606,2024-08-29,15,36,13
BTCUSDT,59579.99,2024-08-29,15,36,43
ETHUSDT,2540.55,2024-08-29,15,36,43
TRXUSDT,0.1606,2024-08-29,15,36,43
BTCUSDT,59429.76,2024-08-29,15,37,14
ETHUSDT,2533.39,2024-08-29,15,37,14
TRXUSDT,0.1605,2024-08-29,15,37,14
BTCUSDT,59461.11,2024-08-29,15,37,44
ETHUSDT,2536.03,2024-08-29,15,37,44
TRXUSDT,0.1606,2024-08-29,15,37,44
BTCUSDT,59395.77,2024-08-29,15,38,14
ETHUSDT,2533.37,2024-08-29,15,38,14
TRXUSDT,0.1605,2024-08-29,15,38,14
BTCUSDT,59312.01,2024-08-29,15,38,45
ETHUSDT,2530.63,2024-08-29,15,38,45
TRXUSDT,0.1604,2024-08-29,15,38,45
BTCUSDT,59331.7,2024-08-29,15,39,15
ETHUSDT,2531.43,2024-08-29,15,39,15
TRXUSDT,0.1604,2024-08-29,15,39,15
BTCUSDT,59364.0,2024-08-29,15,39,45
ETHUSDT,2533.0,2024-08-29,15,39,45
TRXUSDT,0.1606,2024-08-29,15,39,45
BTCUSDT,59348.01,2024-08-29,15,40,16
ETHUSDT,2533.05,2024-08-29,15,40,16
TRXUSDT,0.1606,2024-08-29,15,40,16
BTCUSDT,59391.1,2024-08-29,15,40,46
ETHUSDT,2533.05,2024-08-29,15,40,46
TRXUSDT,0.1604,2024-08-29,15,40,46
BTCUSDT,59322.37,2024-08-29,15,41,16
ETHUSDT,2531.66,2024-08-29,15,41,16
TRXUSDT,0.1604,2024-08-29,15,41,16
BTCUSDT,59293.08,2024-08-29,15,41,46
ETHUSDT,2530.88,2024-08-29,15,41,46
TRXUSDT,0.1604,2024-08-29,15,41,46
BTCUSDT,59313.09,2024-08-29,15,42,17
ETHUSDT,2532.33,2024-08-29,15,42,17
TRXUSDT,0.1604,2024-08-29,15,42,17
BTCUSDT,59304.04,2024-08-29,15,42,47
ETHUSDT,2532.58,2024-08-29,15,42,47
TRXUSDT,0.1604,2024-08-29,15,42,47
BTCUSDT,59211.0,2024-08-29,15,43,17
ETHUSDT,2527.4,2024-08-29,15,43,17
TRXUSDT,0.1605,2024-08-29,15,43,17
BTCUSDT,59243.99,2024-08-29,15,43,48
ETHUSDT,2526.68,2024-08-29,15,43,48
TRXUSDT,0.1604,2024-08-29,15,43,48
BTCUSDT,59244.0,2024-08-29,15,44,18
ETHUSDT,2524.88,2024-08-29,15,44,18
TRXUSDT,0.1605,2024-08-29,15,44,18
BTCUSDT,59247.0,2024-08-29,15,44,48
ETHUSDT,2523.22,2024-08-29,15,44,48
TRXUSDT,0.1605,2024-08-29,15,44,48
BTCUSDT,59230.99,2024-08-29,15,45,19
ETHUSDT,2524.4,2024-08-29,15,45,19
TRXUSDT,0.1605,2024-08-29,15,45,19
BTCUSDT,59204.03,2024-08-29,15,45,49
ETHUSDT,2524.21,2024-08-29,15,45,49
TRXUSDT,0.1605,2024-08-29,15,45,49
BTCUSDT,59201.0,2024-08-29,15,46,19
ETHUSDT,2524.81,2024-08-29,15,46,19
TRXUSDT,0.1604,2024-08-29,15,46,19
BTCUSDT,59140.63,2024-08-29,15,46,50
ETHUSDT,2522.19,2024-08-29,15,46,50
TRXUSDT,0.1603,2024-08-29,15,46,50
BTCUSDT,59220.0,2024-08-29,15,47,20
ETHUSDT,2525.2,2024-08-29,15,47,20
TRXUSDT,0.1604,2024-08-29,15,47,20
BTCUSDT,59249.59,2024-08-29,15,47,50
ETHUSDT,2527.94,2024-08-29,15,47,50
TRXUSDT,0.1605,2024-08-29,15,47,50
BTCUSDT,59088.83,2024-08-29,15,48,21
ETHUSDT,2521.2,2024-08-29,15,48,21
TRXUSDT,0.1603,2024-08-29,15,48,21
BTCUSDT,59192.0,2024-08-29,15,48,51
ETHUSDT,2524.83,2024-08-29,15,48,51
TRXUSDT,0.1603,2024-08-29,15,48,51
BTCUSDT,59225.51,2024-08-29,15,49,21
ETHUSDT,2527.41,2024-08-29,15,49,21
TRXUSDT,0.1605,2024-08-29,15,49,21
BTCUSDT,59242.59,2024-08-29,15,49,52
ETHUSDT,2527.94,2024-08-29,15,49,52
TRXUSDT,0.1605,2024-08-29,15,49,52
BTCUSDT,59184.99,2024-08-29,15,50,22
ETHUSDT,2526.2,2024-08-29,15,50,22
TRXUSDT,0.1604,2024-08-29,15,50,22
BTCUSDT,59139.01,2024-08-29,15,50,52
ETHUSDT,2524.6,2024-08-29,15,50,52
TRXUSDT,0.1605,2024-08-29,15,50,52
BTCUSDT,59010.0,2024-08-29,15,51,23
ETHUSDT,2515.03,2024-08-29,15,51,23
TRXUSDT,0.1604,2024-08-29,15,51,23
BTCUSDT,58986.01,2024-08-29,15,51,53
ETHUSDT,2514.33,2024-08-29,15,51,53
TRXUSDT,0.1604,2024-08-29,15,51,53
BTCUSDT,58987.19,2024-08-29,15,52,23
ETHUSDT,2514.51,2024-08-29,15,52,23
TRXUSDT,0.1603,2024-08-29,15,52,23
BTCUSDT,59026.0,2024-08-29,15,52,54
ETHUSDT,2517.6,2024-08-29,15,52,54
TRXUSDT,0.1602,2024-08-29,15,52,54
BTCUSDT,58934.79,2024-08-29,15,53,24
ETHUSDT,2511.93,2024-08-29,15,53,24
TRXUSDT,0.1603,2024-08-29,15,53,24
BTCUSDT,58948.34,2024-08-29,15,53,54
ETHUSDT,2513.2,2024-08-29,15,53,54
TRXUSDT,0.1603,2024-08-29,15,53,54
BTCUSDT,59024.19,2024-08-29,15,54,24
ETHUSDT,2514.12,2024-08-29,15,54,24
TRXUSDT,0.1602,2024-08-29,15,54,24
BTCUSDT,59068.99,2024-08-29,15,54,55
ETHUSDT,2517.61,2024-08-29,15,54,55
TRXUSDT,0.1603,2024-08-29,15,54,55
BTCUSDT,59145.02,2024-08-29,15,55,25
ETHUSDT,2518.31,2024-08-29,15,55,25
TRXUSDT,0.1604,2024-08-29,15,55,25
BTCUSDT,59171.1,2024-08-29,15,55,55
ETHUSDT,2519.59,2024-08-29,15,55,55
TRXUSDT,0.1605,2024-08-29,15,55,55
BTCUSDT,59250.0,2024-08-29,15,56,26
ETHUSDT,2522.8,2024-08-29,15,56,26
TRXUSDT,0.1605,2024-08-29,15,56,26
BTCUSDT,59271.09,2024-08-29,15,56,56
ETHUSDT,2523.76,2024-08-29,15,56,56
TRXUSDT,0.1604,2024-08-29,15,56,56
BTCUSDT,59271.0,2024-08-29,15,57,26
ETHUSDT,2522.16,2024-08-29,15,57,26
TRXUSDT,0.1604,2024-08-29,15,57,26
BTCUSDT,59172.13,2024-08-29,15,57,57
ETHUSDT,2519.42,2024-08-29,15,57,57
TRXUSDT,0.1603,2024-08-29,15,57,57
BTCUSDT,59172.0,2024-08-29,15,58,27
ETHUSDT,2519.78,2024-08-29,15,58,27
TRXUSDT,0.1604,2024-08-29,15,58,27
BTCUSDT,59195.99,2024-08-29,15,58,57
ETHUSDT,2521.02,2024-08-29,15,58,57
TRXUSDT,0.1604,2024-08-29,15,58,57
BTCUSDT,59202.01,2024-08-29,15,59,28
ETHUSDT,2522.53,2024-08-29,15,59,28
TRXUSDT,0.1604,2024-08-29,15,59,28
BTCUSDT,59161.0,2024-08-29,15,59,58
ETHUSDT,2520.59,2024-08-29,15,59,58
TRXUSDT,0.1603,2024-08-29,15,59,58
BTCUSDT,59193.0,2024-08-29,16,0,28
ETHUSDT,2520.81,2024-08-29,16,0,28
TRXUSDT,0.1604,2024-08-29,16,0,28
BTCUSDT,59106.0,2024-08-29,16,0,59
ETHUSDT,2518.88,2024-08-29,16,0,59
TRXUSDT,0.1604,2024-08-29,16,0,59
BTCUSDT,59105.94,2024-08-29,16,1,29
ETHUSDT,2519.15,2024-08-29,16,1,29
TRXUSDT,0.1602,2024-08-29,16,1,29
BTCUSDT,59162.95,2024-08-29,16,2,0
ETHUSDT,2520.21,2024-08-29,16,2,0
TRXUSDT,0.1602,2024-08-29,16,2,0
BTCUSDT,59142.0,2024-08-29,16,2,30
ETHUSDT,2518.59,2024-08-29,16,2,30
TRXUSDT,0.1603,2024-08-29,16,2,30
BTCUSDT,59079.01,2024-08-29,16,3,0
ETHUSDT,2516.29,2024-08-29,16,3,0
TRXUSDT,0.1602,2024-08-29,16,3,0
BTCUSDT,58979.0,2024-08-29,16,3,31
ETHUSDT,2512.89,2024-08-29,16,3,31
TRXUSDT,0.1601,2024-08-29,16,3,31
BTCUSDT,59002.0,2024-08-29,16,4,1
ETHUSDT,2515.09,2024-08-29,16,4,1
TRXUSDT,0.1602,2024-08-29,16,4,1
BTCUSDT,58996.0,2024-08-29,16,4,31
ETHUSDT,2511.8,2024-08-29,16,4,31
TRXUSDT,0.1602,2024-08-29,16,4,31
BTCUSDT,59003.0,2024-08-29,16,5,3
ETHUSDT,2513.98,2024-08-29,16,5,3
TRXUSDT,0.1602,2024-08-29,16,5,3
BTCUSDT,59107.0,2024-08-29,16,5,33
ETHUSDT,2517.19,2024-08-29,16,5,33
TRXUSDT,0.1603,2024-08-29,16,5,33
BTCUSDT,59184.0,2024-08-29,16,6,3
ETHUSDT,2519.81,2024-08-29,16,6,3
TRXUSDT,0.1603,2024-08-29,16,6,3
BTCUSDT,59209.22,2024-08-29,16,6,34
ETHUSDT,2520.87,2024-08-29,16,6,34
TRXUSDT,0.1604,2024-08-29,16,6,34
BTCUSDT,59231.11,2024-08-29,16,7,4
ETHUSDT,2521.76,2024-08-29,16,7,4
TRXUSDT,0.1604,2024-08-29,16,7,4
BTCUSDT,59244.01,2024-08-29,16,7,34
ETHUSDT,2522.04,2024-08-29,16,7,34
TRXUSDT,0.1605,2024-08-29,16,7,34
BTCUSDT,59232.28,2024-08-29,16,8,5
ETHUSDT,2521.51,2024-08-29,16,8,5
TRXUSDT,0.1605,2024-08-29,16,8,5
BTCUSDT,59289.37,2024-08-29,16,8,35
ETHUSDT,2523.56,2024-08-29,16,8,35
TRXUSDT,0.1605,2024-08-29,16,8,35
BTCUSDT,59328.99,2024-08-29,16,9,5
ETHUSDT,2524.78,2024-08-29,16,9,5
TRXUSDT,0.1604,2024-08-29,16,9,5
BTCUSDT,59295.6,2024-08-29,16,9,36
ETHUSDT,2524.8,2024-08-29,16,9,36
TRXUSDT,0.1605,2024-08-29,16,9,36
