Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
ETHUSDT,2622.65,2024-02-12,17,34,53
TRXUSDT,0.12509,2024-02-12,17,34,53
BTCUSDT,49865.71,2024-02-12,17,35,23
ETHUSDT,2622.5,2024-02-12,17,35,23
TRXUSDT,0.12505,2024-02-12,17,35,23
BTCUSDT,49836.01,2024-02-12,17,35,53
ETHUSDT,2622.4,2024-02-12,17,35,53
TRXUSDT,0.12503,2024-02-12,17,35,53
BTCUSDT,49847.53,2024-02-12,17,36,24
ETHUSDT,2623.06,2024-02-12,17,36,24
TRXUSDT,0.12501,2024-02-12,17,36,24
BTCUSDT,49890.76,2024-02-12,17,36,55
ETHUSDT,2624.24,2024-02-12,17,36,55
TRXUSDT,0.12507,2024-02-12,17,36,55
BTCUSDT,49929.94,2024-02-12,17,37,25
ETHUSDT,2625.25,2024-02-12,17,37,25
TRXUSDT,0.12509,2024-02-12,17,37,25
BTCUSDT,49944.69,2024-02-12,17,37,57
ETHUSDT,2624.01,2024-02-12,17,37,57
TRXUSDT,0.1251,2024-02-12,17,37,57
BTCUSDT,49934.61,2024-02-12,17,38,27
ETHUSDT,2621.84,2024-02-12,17,38,27
TRXUSDT,0.12509,2024-02-12,17,38,27
BTCUSDT,49918.6,2024-02-12,17,38,57
ETHUSDT,2622.38,2024-02-12,17,38,57
TRXUSDT,0.1251,2024-02-12,17,38,57
BTCUSDT,49921.99,2024-02-12,17,39,28
ETHUSDT,2622.82,2024-02-12,17,39,28
TRXUSDT,0.12502,2024-02-12,17,39,28
BTCUSDT,49907.52,2024-02-12,17,39,58
ETHUSDT,2622.06,2024-02-12,17,39,58
TRXUSDT,0.12499,2024-02-12,17,39,58
BTCUSDT,49903.99,2024-02-12,17,40,28
ETHUSDT,2621.65,2024-02-12,17,40,28
TRXUSDT,0.12499,2024-02-12,17,40,28
BTCUSDT,49956.26,2024-02-12,17,40,59
ETHUSDT,2623.78,2024-02-12,17,40,59
TRXUSDT,0.12499,2024-02-12,17,40,59
BTCUSDT,49884.99,2024-02-12,18,49,40
ETHUSDT,2634.94,2024-02-12,18,49,40
TRXUSDT,0.12513,2024-02-12,18,49,40
BTCUSDT,49880.0,2024-02-12,18,50,11
ETHUSDT,2634.08,2024-02-12,18,50,11
TRXUSDT,0.12517,2024-02-12,18,50,11
BTCUSDT,49909.02,2024-02-12,18,50,41
ETHUSDT,2635.44,2024-02-12,18,50,41
TRXUSDT,0.12518,2024-02-12,18,50,41
BTCUSDT,49918.74,2024-02-12,18,51,12
ETHUSDT,2634.39,2024-02-12,18,51,12
TRXUSDT,0.12518,2024-02-12,18,51,12
BTCUSDT,49886.76,2024-02-12,18,51,43
ETHUSDT,2632.87,2024-02-12,18,51,43
TRXUSDT,0.12519,2024-02-12,18,51,43
BTCUSDT,49889.09,2024-02-12,18,52,13
ETHUSDT,2631.76,2024-02-12,18,52,13
TRXUSDT,0.1252,2024-02-12,18,52,13
BTCUSDT,49875.5,2024-02-12,18,52,44
ETHUSDT,2630.9,2024-02-12,18,52,44
TRXUSDT,0.1252,2024-02-12,18,52,44
BTCUSDT,49884.97,2024-02-12,18,53,14
ETHUSDT,2631.76,2024-02-12,18,53,14
TRXUSDT,0.1252,2024-02-12,18,53,14
BTCUSDT,49858.02,2024-02-12,18,53,45
ETHUSDT,2631.07,2024-02-12,18,53,45
TRXUSDT,0.1252,2024-02-12,18,53,45
BTCUSDT,49834.18,2024-02-12,18,54,15
ETHUSDT,2629.99,2024-02-12,18,54,15
TRXUSDT,0.12519,2024-02-12,18,54,15
BTCUSDT,49866.03,2024-02-12,18,54,45
ETHUSDT,2631.65,2024-02-12,18,54,45
TRXUSDT,0.12518,2024-02-12,18,54,45
BTCUSDT,49851.11,2024-02-12,18,55,16
ETHUSDT,2631.22,2024-02-12,18,55,16
TRXUSDT,0.12518,2024-02-12,18,55,16
BTCUSDT,49835.77,2024-02-12,18,55,46
ETHUSDT,2631.61,2024-02-12,18,55,46
TRXUSDT,0.12518,2024-02-12,18,55,46
BTCUSDT,49855.96,2024-02-12,18,56,17
ETHUSDT,2633.15,2024-02-12,18,56,17
TRXUSDT,0.12519,2024-02-12,18,56,17
BTCUSDT,49838.0,2024-02-12,18,56,47
ETHUSDT,2631.27,2024-02-12,18,56,47
TRXUSDT,0.12519,2024-02-12,18,56,47
BTCUSDT,49854.06,2024-02-12,18,57,17
ETHUSDT,2630.51,2024-02-12,18,57,17
TRXUSDT,0.12513,2024-02-12,18,57,17
BTCUSDT,49834.75,2024-02-12,18,57,48
ETHUSDT,2628.72,2024-02-12,18,57,48
TRXUSDT,0.1251,2024-02-12,18,57,48
BTCUSDT,49812.32,2024-02-12,18,58,18
ETHUSDT,2628.69,2024-02-12,18,58,18
TRXUSDT,0.12507,2024-02-12,18,58,18
BTCUSDT,49832.28,2024-02-12,18,58,48
ETHUSDT,2629.61,2024-02-12,18,58,48
TRXUSDT,0.12506,2024-02-12,18,58,48
BTCUSDT,49849.29,2024-02-12,18,59,19
ETHUSDT,2630.85,2024-02-12,18,59,19
TRXUSDT,0.12506,2024-02-12,18,59,19
BTCUSDT,49829.03,2024-02-12,18,59,49
ETHUSDT,2630.85,2024-02-12,18,59,49
TRXUSDT,0.12506,2024-02-12,18,59,49
BTCUSDT,49821.1,2024-02-12,19,0,19
ETHUSDT,2633.77,2024-02-12,19,0,19
TRXUSDT,0.12518,2024-02-12,19,0,19
BTCUSDT,49847.99,2024-02-12,19,0,50
ETHUSDT,2634.1,2024-02-12,19,0,50
TRXUSDT,0.12521,2024-02-12,19,0,50
